	Shruti i7	FZ i7	FZ i7
	3	4	5
C	i501	i511	i522
D	i502	i512	i523
E	i503	i513	i524
F	i504	i514	i525
G	i505	i515	i526
H	i506	i516	i527
I	i507	i517	i528
J	i508	i518	i529
K	i509	i519	i530
L	i510	i520	i531
M		i521	i532
